trace_id,t,throughput_kbps
italy_1324,11,31571.04
italy_1324,12,31442.559999999998
italy_1324,13,31734.560000000005
italy_1324,14,31804.640000000003
italy_1324,15,31746.24
italy_1324,16,31606.079999999998
italy_1324,17,31828.0
italy_1324,18,31839.68
italy_1324,19,31617.76
italy_1324,20,30562.666666666668
italy_1325,0,27634.879999999997
italy_1325,1,31734.559999999998
italy_1325,2,31641.120000000003
italy_1325,3,31851.359999999997
italy_1325,4,31839.68
italy_1325,5,31769.6
italy_1325,6,31512.640000000003
italy_1325,7,31757.920000000002
italy_1325,8,31641.120000000003
italy_1325,9,31828.0
italy_1325,10,31746.24
italy_1325,11,31734.559999999998
italy_1325,12,31781.28
italy_1325,13,31804.640000000003
italy_1325,14,31664.48
italy_1325,15,31676.159999999996
italy_1325,16,31571.04
italy_1325,17,31687.840000000004
italy_1325,18,31722.879999999997
italy_1325,19,31699.52
italy_1325,20,28732.8
italy_1346,0,9285.6
italy_1346,1,12707.84
italy_1346,2,9472.48
italy_1346,3,5337.76
italy_1346,4,5933.4400000000005
italy_1346,5,5442.88
italy_1346,6,4987.36
italy_1346,7,4975.68
italy_1346,8,6657.6
italy_1346,9,5150.88
italy_1346,10,6038.5599999999995
italy_1346,11,4088.0
italy_1346,12,5769.92
italy_1346,13,6809.44
italy_1346,14,5396.16
italy_1346,15,5267.68
italy_1346,16,5758.24
italy_1346,17,5746.5599999999995
italy_1346,18,5384.4800000000005
italy_1346,19,5793.280000000001
italy_1346,20,4282.666666666667
italy_1347,0,5746.5599999999995
italy_1347,1,7662.08
italy_1347,2,9694.4
italy_1347,3,11785.119999999999
italy_1347,4,7568.640000000001
italy_1347,5,5256.0
italy_1347,6,5559.68
italy_1347,7,5734.88
italy_1347,8,5559.68
italy_1347,9,5384.4800000000005
italy_1347,10,5442.88
italy_1347,11,5699.84
italy_1347,12,5115.84
italy_1347,13,6003.5199999999995
italy_1347,14,5349.4400000000005
italy_1347,15,5314.4
italy_1347,16,5804.96
italy_1347,17,5723.2
italy_1347,18,5384.4800000000005
italy_1347,19,6003.5199999999995
italy_1347,20,4204.799999999999
italy_1348,0,6739.360000000001
italy_1348,1,11668.32
italy_1348,2,12532.64
italy_1348,3,5314.4
italy_1348,4,6038.5599999999995
italy_1348,5,5209.280000000001
italy_1348,6,5910.08
italy_1348,7,5185.92
italy_1348,8,5804.96
italy_1348,9,5512.96
italy_1348,10,5641.44
italy_1348,11,4181.4400000000005
italy_1348,12,6727.68
italy_1348,13,5220.96
italy_1348,14,6003.5199999999995
italy_1348,15,4812.16
italy_1348,16,5991.84
italy_1348,17,5442.88
italy_1348,18,5945.12
italy_1348,19,5104.16
italy_1348,20,5723.2
italy_1349,0,7218.24
italy_1349,1,12275.68
italy_1349,2,11901.92
italy_1349,3,5419.52
italy_1349,4,6003.5199999999995
italy_1349,5,4812.16
italy_1349,6,6260.4800000000005
italy_1349,7,4893.92
italy_1349,8,5734.88
italy_1349,9,5162.5599999999995
italy_1349,10,6026.879999999999
italy_1349,11,5676.4800000000005
italy_1349,12,5723.2
italy_1349,13,4438.4
italy_1349,14,6190.4
italy_1349,15,5676.4800000000005
italy_1349,16,5723.2
italy_1349,17,5384.4800000000005
italy_1349,18,5793.280000000001
italy_1349,19,5220.96
italy_1349,20,4633.066666666667
italy_1378,0,25999.68
italy_1378,1,29328.48
italy_1378,2,25625.920000000002
italy_1378,3,25415.68
italy_1378,4,15861.439999999999
italy_1378,5,13560.48
italy_1378,6,10430.24
italy_1378,7,11504.8
italy_1378,8,14471.52
italy_1378,9,15067.2
italy_1378,10,11282.880000000001
italy_1378,11,13934.24
italy_1378,12,14611.679999999998
italy_1378,13,14167.84
italy_1378,14,13163.36
italy_1378,15,12275.68
italy_1378,16,14319.679999999998
italy_1378,17,17157.920000000002
italy_1378,18,15102.24
italy_1378,19,16001.6
italy_1378,20,12731.2
italy_1379,0,15557.76
italy_1379,1,30741.76
italy_1379,2,30765.120000000003
italy_1379,3,29410.24
italy_1379,4,31547.68
italy_1379,5,31606.079999999998
italy_1379,6,31407.52
italy_1379,7,30601.6
italy_1379,8,31606.079999999998
italy_1379,9,31722.879999999997
italy_1379,10,31699.52
italy_1379,11,31465.920000000002
italy_1379,12,31360.8
italy_1379,13,31407.52
italy_1379,14,31676.159999999996
italy_1379,15,31734.559999999998
italy_1379,16,31734.559999999998
italy_1379,17,31594.4
italy_1379,18,31582.72
italy_1379,19,31839.68
italy_1379,20,30554.879999999997
italy_1380,0,14670.079999999998
italy_1380,1,20872.16
italy_1380,2,24014.079999999998
italy_1380,3,26630.4
italy_1380,4,29970.879999999997
italy_1380,5,30005.920000000002
italy_1380,6,31547.68
italy_1380,7,31173.920000000002
italy_1380,8,30484.8
italy_1380,9,30952.0
italy_1380,10,31430.879999999997
italy_1380,11,30998.72
italy_1380,12,30706.72
italy_1380,13,30589.920000000002
italy_1380,14,31314.079999999998
italy_1380,15,31582.72
italy_1380,16,31524.32
italy_1380,17,31617.76
italy_1380,18,31757.920000000002
italy_1380,19,31337.440000000002
italy_1380,20,31138.879999999997
italy_1381,0,27845.120000000003
italy_1381,1,29784.0
italy_1381,2,30706.72
italy_1381,3,31150.559999999998
italy_1381,4,30975.359999999997
italy_1381,5,30987.04
italy_1381,6,30963.68
italy_1381,7,31092.159999999996
italy_1381,8,31138.879999999997
italy_1381,9,31220.640000000003
italy_1381,10,31185.6
italy_1381,11,30776.8
italy_1381,12,31127.2
italy_1381,13,31138.879999999997
italy_1381,14,31302.4
italy_1381,15,31173.920000000002
italy_1381,16,31302.4
italy_1381,17,31500.96
italy_1381,18,31419.2
italy_1381,19,31512.640000000003
italy_1381,20,26607.04
italy_1410,0,8105.92
italy_1410,1,9297.28
italy_1410,2,10547.039999999999
italy_1410,3,9262.24
italy_1410,4,5197.6
italy_1410,5,5945.12
italy_1410,6,4800.4800000000005
italy_1410,7,6050.24
italy_1410,8,4870.5599999999995
italy_1410,9,5968.4800000000005
italy_1410,10,5606.4
italy_1410,11,5956.8
italy_1410,12,4508.4800000000005
italy_1410,13,5162.5599999999995
italy_1410,14,5711.5199999999995
italy_1410,15,6786.08
italy_1410,16,5092.48
italy_1410,17,6015.2
italy_1410,18,5022.4
italy_1410,19,5676.4800000000005
italy_1410,20,4876.4
italy_1411,0,5139.2
italy_1411,1,9227.2
italy_1411,2,9589.28
italy_1411,3,10955.84
italy_1411,4,6727.68
italy_1411,5,5127.5199999999995
italy_1411,6,6015.2
italy_1411,7,5758.24
italy_1411,8,4812.16
italy_1411,9,5746.5599999999995
italy_1411,10,5372.8
italy_1411,11,5851.68
italy_1411,12,5606.4
italy_1411,13,5781.6
italy_1411,14,5291.04
italy_1411,15,5734.88
italy_1411,16,5361.12
italy_1411,17,5291.039999999999
italy_1411,18,5816.64
italy_1411,19,5548.0
italy_1411,20,2265.9199999999996
italy_1412,0,5594.72
italy_1412,1,7977.44
italy_1412,2,8981.92
italy_1412,3,9776.16
italy_1412,4,8701.6
italy_1412,5,6529.12
italy_1412,6,6248.8
italy_1412,7,4344.96
italy_1412,8,6564.160000000001
italy_1412,9,4321.6
italy_1412,10,5758.24
italy_1412,11,5664.8
italy_1412,12,6260.4800000000005
italy_1412,13,5477.92
italy_1412,14,5746.5599999999995
italy_1412,15,5314.4
italy_1412,16,5618.08
italy_1412,17,5069.12
italy_1412,18,6237.12
italy_1412,19,5150.88
italy_1412,20,5548.0
italy_1413,0,5571.36
italy_1413,1,7743.839999999999
italy_1413,2,9449.119999999999
